Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (VND),Competitive Density,SERP Features
cách chơi cờ nhảy,"Informational, Commercial",480,"1.00,0.54,0.44,0.54,0.36,0.66,0.44,0.44,0.44,0.81,1.00,0.66",47,0.00,0.12,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi cờ vua cho người mới bắt đầu,"Informational, Commercial",480,"0.66,1.00,0.81,0.66,0.44,0.44,0.44,0.44,0.24,0.66,1.00,0.81",59,264.27,0.10,"Sitelinks, Image pack, Video, Related searches"
cách chơi fifa online 4 trên điện thoại,,480,"0.02,0.25,0.02,0.02,0.02,0.25,1.00,0.45,0.07,0.02,0.02,0.02",,0.00,0.01,
cách chơi free fire trên máy tính,"Informational, Transactional",480,"1.00,0.81,0.66,0.54,0.44,0.44,0.54,0.66,0.66,0.81,0.66,0.81",22,1321.35,0.09,"Sitelinks, Image pack, Video, Related searches"
cách chơi game mượt cho máy yếu,Informational,480,"1.00,0.66,0.66,0.66,0.44,0.66,0.54,0.44,0.66,0.66,0.54,0.54",32,264.27,0.29,"Sitelinks, AI Overview, Image pack, Video, Related searches, Ads bottom"
cách chơi game trên máy tính,"Informational, Commercial",480,"0.81,1.00,1.00,0.81,0.66,0.66,0.81,0.81,0.81,0.81,0.81,0.81",53,2114.16,0.08,"Sitelinks, Image pack, Video, Related searches, Ads bottom"
cách chơi heartsteel,"Informational, Commercial",480,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,1.00,0.81,1.00,0.45",21,0.00,0.00,"Sitelinks, Video, Related searches"
cách chơi hụi 1 triệu,Informational,480,"0.81,0.81,1.00,1.00,0.81,0.67,1.00,0.81,0.81,0.81,0.67,0.54",22,0.00,0.00,"AI Overview, Image, Image pack, Video, Related searches"
cách chơi liên minh huyền thoại,Informational,480,"0.81,0.66,0.66,1.00,0.81,0.66,0.66,0.66,0.66,0.54,0.66,0.66",67,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi lâu ra,"Informational, Commercial",480,"1.00,1.00,1.00,1.00,0.82,0.67,1.00,0.82,0.82,1.00,1.00,0.82",34,2642.71,1.00,Related searches
cách chơi lô đề,Informational,480,"0.81,0.81,0.81,0.81,0.66,0.66,0.81,1.00,0.81,0.66,0.66,0.66",22,0.00,0.00,"Image pack, Video, Related searches"
cách chơi minecraft trên pc,"Informational, Commercial",480,"0.81,0.66,0.66,0.66,0.66,0.66,0.81,0.81,0.81,1.00,1.00,0.81",21,0.00,0.00,"Sitelinks, Image pack, Video, Related searches"
cách chơi piltover,Informational,480,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.84,0.68,0.46",22,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches"
cách chơi play together trên web,Informational,480,"1.00,0.67,0.30,0.30,0.36,0.36,0.44,0.44,0.67,0.67,0.67,0.67",63,0.00,0.02,"Featured snippet, Sitelinks, AI Overview, Video, Related searches"
